task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	scratch	error_action	workdir
1	8f/295ae0	78203	CWGS:parse_sample:toCsv	-	CWGS:parse_sample:toCsv	CACHED	0	-	-	1	-	-	1 GB	1	2024-08-22 20:44:32.884	2024-08-22 20:44:32.971	2024-08-22 20:44:33.709	825ms	507ms	-	34.0%	0.0%	4 KB	1.2 MB	4 KB	1.2 MB	896.1 KB	9.7 KB	12503	113	1.5 MB	8 KB	19	2	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/8f/295ae0df1d0bbbde0c55ef8db85faf
2	fa/95213a	78319	CWGS:fq	Test	CWGS:fq (Test)	CACHED	0	-	-	1	-	-	1 GB	1	2024-08-22 20:44:33.807	2024-08-22 20:44:33.910	2024-08-22 20:44:34.274	467ms	160ms	-	98.9%	0.0%	516 KB	1.4 MB	516 KB	1.4 MB	919.5 KB	9.3 KB	12548	112	0	4 KB	14	3	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/fa/95213a08a75cad1160bfa15e7a7b69
3	b1/8d8a74	78532	CWGS:qc_stlfr_stats	Test	CWGS:qc_stlfr_stats (Test)	CACHED	0	-	/storeData/cg_teams/cg_research/ycai/completeWGS/pipeline/v1.0.6/CWGS.sif	24	-	-	4 GB	1	2024-08-22 20:44:34.367	2024-08-22 20:44:34.374	2024-08-22 20:44:51.274	16.9s	16.5s	-	573.3%	0.2%	1 GB	2.7 GB	1.1 GB	2.9 GB	5.9 GB	489.7 MB	14487	1567	248.3 MB	489.7 MB	1245	25	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/b1/8d8a747d4182cbe05dc608eab7007a
4	6a/4e93a3	78539	CWGS:qc_pf	Test	CWGS:qc_pf (Test)	CACHED	0	-	/storeData/cg_teams/cg_research/ycai/completeWGS/pipeline/v1.0.6/CWGS.sif	24	-	-	4 GB	1	2024-08-22 20:44:34.382	2024-08-22 20:44:34.475	2024-08-22 20:44:51.174	16.8s	16.4s	-	600.9%	0.2%	1012.3 MB	2.7 GB	1.1 GB	2.8 GB	5 GB	453.5 MB	14231	1795	208.4 MB	453.6 MB	1240	27	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/6a/4e93a3707136a68eafb3c1a9d1e7d6
6	d1/5febaa	80658	CWGS:readLen	Test	CWGS:readLen (Test)	CACHED	0	-	-	1	-	-	1 GB	1	2024-08-22 20:44:51.324	2024-08-22 20:44:51.376	2024-08-22 20:44:51.923	599ms	278ms	-	103.8%	0.0%	2 MB	5.6 MB	2 MB	5.7 MB	906.7 KB	9.5 KB	12532	117	0	8 KB	12	4	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/d1/5febaafeb50f76b432b6605196f5c5
5	90/99f52b	80666	CWGS:basecount	Test	CWGS:basecount (Test)	CACHED	0	-	-	1	-	-	1 GB	1	2024-08-22 20:44:51.337	2024-08-22 20:44:51.377	2024-08-22 20:44:51.935	598ms	277ms	-	97.2%	0.0%	2 MB	5.6 MB	2 MB	5.7 MB	902.9 KB	9.8 KB	12520	116	0	8 KB	12	3	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/90/99f52b5a5ed431be32ae3a3f7d8e1c
11	5a/2044ef	80612	CWGS:readLenPf	Test	CWGS:readLenPf (Test)	CACHED	0	-	-	1	-	-	1 GB	1	2024-08-22 20:44:51.253	2024-08-22 20:44:51.292	2024-08-22 20:44:51.831	578ms	277ms	-	97.0%	0.0%	512 KB	1.4 MB	512 KB	1.4 MB	906.7 KB	9.5 KB	12532	117	44 KB	8 KB	15	2	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/5a/2044efaec558b9f1943680586a21c4
9	60/d39b92	80633	CWGS:fqcheckPf	Test, pf	CWGS:fqcheckPf (Test, pf)	CACHED	0	-	/storeData/cg_teams/cg_research/ycai/completeWGS/pipeline/v1.0.6/CWGS.sif	1	-	-	1 GB	1	2024-08-22 20:44:51.285	2024-08-22 20:44:51.375	2024-08-22 20:44:58.133	6.8s	6.4s	-	99.6%	0.0%	4.2 MB	12.1 MB	4.2 MB	12.1 MB	227.6 MB	75.2 KB	41607	426	32 KB	80 KB	603	154	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/60/d39b92e0dc2892c987fb580312f525
10	65/f5abeb	80620	CWGS:fqstats_pf	Test	CWGS:fqstats_pf (Test)	CACHED	0	-	/storeData/cg_teams/cg_research/ycai/completeWGS/pipeline/v1.0.6/CWGS.sif	1	-	-	4 GB	1	2024-08-22 20:44:51.269	2024-08-22 20:44:51.295	2024-08-22 20:44:52.594	1.3s	921ms	-	38.7%	0.0%	516 KB	1.4 MB	516 KB	1.4 MB	1.3 MB	9.5 KB	12589	113	1.8 MB	8 KB	13	2	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/65/f5abeb36d22d98a6f6bd0091859389
7	a7/fcc694	80677	CWGS:fqstats_stlfr	Test	CWGS:fqstats_stlfr (Test)	CACHED	0	-	/storeData/cg_teams/cg_research/ycai/completeWGS/pipeline/v1.0.6/CWGS.sif	1	-	-	4 GB	1	2024-08-22 20:44:51.348	2024-08-22 20:44:51.377	2024-08-22 20:44:52.494	1.1s	829ms	-	46.5%	0.0%	3.3 MB	8.9 MB	3.3 MB	8.9 MB	1.3 MB	9.5 KB	12589	113	1.1 MB	8 KB	173	24	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/tmp	-	/storeData/cg_teams/cg_research/ycai/completeWGS/results/tests/sge_test/CWGS_run/work/a7/fcc694ece0cb1a325018ffa4cc7bf6
